"FullName","Length","LastWriteTime"
"C:\Ascension\Launcher\resources\ascension-live\Cache\WDB\enUS\baddons.wcf","132","7/20/2026 7:35:59 PM"
"C:\Ascension\Launcher\resources\ascension-live\Cache\WDB\enUS\creaturecache.wdb","32","7/20/2026 7:31:34 PM"
"C:\Ascension\Launcher\resources\ascension-live\Cache\WDB\enUS\gameobjectcache.wdb","32","7/20/2026 7:31:34 PM"
"C:\Ascension\Launcher\resources\ascension-live\Cache\WDB\enUS\itemcache.wdb","32","7/20/2026 7:31:34 PM"
"C:\Ascension\Launcher\resources\ascension-live\Cache\WDB\enUS\itemnamecache.wdb","32","7/20/2026 7:31:34 PM"
"C:\Ascension\Launcher\resources\ascension-live\Cache\WDB\enUS\itemtextcache.wdb","36","7/20/2026 7:31:34 PM"
"C:\Ascension\Launcher\resources\ascension-live\Cache\WDB\enUS\npccache.wdb","32","7/20/2026 7:31:34 PM"
"C:\Ascension\Launcher\resources\ascension-live\Cache\WDB\enUS\pagetextcache.wdb","32","7/20/2026 7:31:34 PM"
"C:\Ascension\Launcher\resources\ascension-live\Cache\WDB\enUS\questcache.wdb","32","7/20/2026 7:31:34 PM"
"C:\Ascension\Launcher\resources\ascension-live\Cache\WDB\enUS\wowcache.wdb","44","7/20/2026 7:31:34 PM"
"C:\Ascension\Launcher\resources\ascension-live\Cache\WDB\enUS\Bronzebeard - Warcraft Reborn\creaturecache.wdb","28911","7/20/2026 7:37:39 PM"
"C:\Ascension\Launcher\resources\ascension-live\Cache\WDB\enUS\Bronzebeard - Warcraft Reborn\gameobjectcache.wdb","7999","7/20/2026 7:37:39 PM"
"C:\Ascension\Launcher\resources\ascension-live\Cache\WDB\enUS\Bronzebeard - Warcraft Reborn\itemcache.wdb","18933","7/20/2026 7:37:39 PM"
"C:\Ascension\Launcher\resources\ascension-live\Cache\WDB\enUS\Bronzebeard - Warcraft Reborn\itemnamecache.wdb","32","7/20/2026 7:37:39 PM"
"C:\Ascension\Launcher\resources\ascension-live\Cache\WDB\enUS\Bronzebeard - Warcraft Reborn\itemtextcache.wdb","36","7/20/2026 7:37:39 PM"
