AccountMsg_LoadHeaders	0x00550910
BNGetInfo	0x005343F0
BankButtonIDToInvSlotID	0x0057B940
CalendarGetMonthNames	0x005B80E0
CameraZoomIn	0x006017E0
CanResetTutorials	0x00530700
CloseAuctionHouse	0x0059F750
CloseGuildRegistrar	0x00599F00
CloseMail	0x00571A40
CloseMerchant	0x005846D0
ClosePetStables	0x005A1950
ClosePetition	0x005CF020
ClosePetitionVendor	0x005A24F0
CloseQuest	0x0058D350
CloseSocketInfo	0x005C49C0
CloseTabardCreation	0x00598F30
CloseTrade	0x00587940
CloseTradeSkill	0x005DA8B0
CombatLogResetFilter	0x0074FA60
CommentatorSetMode	0x005690A0
ContainerIDToInventoryID	0x005D6F60
GetActionInfo	0x005A8F10
GetArenaTeam	0x005A3860
GetAutoCompleteResults	0x0057B3A0
GetBarberShopStyleInfo	0x0052E850
GetCategoryList	0x005B1390
GetCurrencyListSize	0x005AFD10
GetGMTicket	0x005AD070
GetGossipText	0x0058A900
GetInventorySlotInfo	0x005E7D60
GetMapContinents	0x00544B20
GetMinigameType	0x005C5500
GetNumBattlefields	0x0054BAA0
GetNumBindings	0x0055DC00
GetNumFactions	0x005CFF20
GetNumFriends	0x006B4060
GetNumGlyphSockets	0x005B71E0
GetNumGuildMembers	0x005CA130
GetNumPartyMembers	0x0052C110
GetNumQuestLogEntries	0x005DF010
GetNumRaidMembers	0x00572B40
GetNumSkillLines	0x005CD1B0
GetNumSpellTabs	0x0053B5C0
GetNumTalentTabs	0x005C5CC0
GetNumTrackingTypes	0x0057F170
GetNumWorldStateUI	0x00548720
GetScreenResolutions	0x0054F430
GetText	0x0081B720
GetTime	0x006081F0
IsShiftKeyDown	0x004DBE10
ItemTextGetItem	0x00589C40
JumpOrAscendStart	0x005FBF80
KBSetup_BeginLoading	0x00551720
OpenTrainer	0x00595040
PetHasActionBar	0x005D3720
PlaySound	0x009858B0
QueryGuildBankTab	0x005A5CE0
RequestRealmList	0x004DE430
SaveEquipmentSet	0x005AF9C0
SecureCmdOptionParse	0x00564AE0
SendChatMessage	0x0050D170
SetCharCustomizeFrame	0x004E05B0
SetCharSelectModelFrame	0x004E2F60
SetLFGDungeon	0x00559F50
SetLootPortrait	0x00588F00
SetTaxiMap	0x00590D10
SpellIsTargeting	0x007FDCD0
StartDuel	0x005CF950
VoiceEnumerateOutputDevices	0x007DAB80
