AcceptChangedOptionWarnings	0x004DCF20
AcceptContest	0x004DC250
AcceptEULA	0x004DC220
AcceptScanning	0x004DC240
AcceptTOS	0x004DC210
AcceptTerminationWithoutNotice	0x004DC230
CallCompanion	0x0053E5E0
CanChangePlayerDifficulty	0x0052D000
CancelLogin	0x004DCE60
CancelShapeshiftForm	0x0053DE60
CastShapeshiftForm	0x0053C0F0
CastSpell	0x00541250
CastSpellByID	0x0053E060
CastSpellByName	0x00540310
ChangePlayerDifficulty	0x0052E420
ClearPartyAssignment	0x0052E400
ContestAccepted	0x004DD8C0
DeclineName	0x004DD020
DefaultServerLogin	0x004DC260
DisableAddOn	0x004DC9B0
DisableAllAddOns	0x004DCA70
DisableSpellAutocast	0x005411A0
DisconnectFromServer	0x004DDA10
DismissCompanion	0x0053E6B0
EULAAccepted	0x004DD740
EnableAddOn	0x004DC8A0
EnableAllAddOns	0x004DC960
EnableSpellAutocast	0x00541140
EnterWorld	0x004DC510
FindSpellBookSlotByID	0x0053B6C0
GetAccountExpansionLevel	0x004DDC20
GetAddOnDependencies	0x004DDAC0
GetAddOnEnableState	0x004DC7C0
GetAddOnInfo	0x004DC560
GetAutoCompletePresenceID	0x0057B500
GetAutoCompleteResults	0x0057B3A0
GetBillingPlan	0x004DDC60
GetBillingTimeRemaining	0x004DDBD0
GetBillingTimeRested	0x00511C40
GetBuildInfo	0x004DBE60
GetCVar	0x004DDD10
GetCVarAbsoluteMax	0x004DE130
GetCVarAbsoluteMin	0x004DE090
GetCVarBool	0x004DDD90
GetCVarDefault	0x004DDE10
GetCVarMax	0x004DDF80
GetCVarMin	0x004DDEA0
GetChangedOptionWarnings	0x004DE1F0
GetClientExpansionLevel	0x004DCBF0
GetCompanionCooldown	0x0053E490
GetCompanionInfo	0x0053E2C0
GetCreditsText	0x004DCD60
GetCursorPosition	0x004DCB60
GetGameAccountInfo	0x004DD1C0
GetKnownSlotFromHighestRankSlot	0x0053B650
GetLocale	0x004DBFD0
GetLootMethod	0x0052CD90
GetLootThreshold	0x0052C2A0
GetMatrixCoordinates	0x004DC440
GetMovieResolution	0x004DD610
GetNumAddOns	0x00511200
GetNumCompanions	0x0053C2A0
GetNumDeclensionSets	0x004DCF70
GetNumGameAccounts	0x004DD130
GetNumPartyMembers	0x0052C110
GetNumShapeshiftForms	0x0053C0B0
GetNumSpellTabs	0x0053B5C0
GetOptOutOfLoot	0x0052C2D0
GetPartyAssignment	0x0052CF60
GetPartyLeaderIndex	0x0052C270
GetPartyMember	0x0052C1D0
GetRealNumPartyMembers	0x0052C190
GetSavedAccountList	0x004DD5F0
GetSavedAccountName	0x004DD5D0
GetScreenHeight	0x004DCC70
GetScreenWidth	0x004DCC20
GetServerName	0x004DD900
GetShapeshiftForm	0x0053DE10
GetShapeshiftFormCooldown	0x0053C180
GetShapeshiftFormInfo	0x0053DE90
GetSpellAutocast	0x00541010
GetSpellCooldown	0x00540E80
GetSpellCount	0x00540DF0
GetSpellInfo	0x00540A30
GetSpellLink	0x005408E0
GetSpellName	0x005407F0
GetSpellTabInfo	0x0053BE70
GetSpellTexture	0x00540D70
GetUsesToken	0x004DBF10
HasLFGRestrictions	0x0052C350
HasPetSpells	0x0053DD30
HideCursor	0x004DDBB0
IsAddonVersionCheckEnabled	0x004DCAE0
IsAttackSpell	0x00541420
IsAutoRepeatSpell	0x005415D0
IsConnectedToServer	0x004DDA50
IsConsoleActive	0x004DD450
IsConsumableSpell	0x005419F0
IsCurrentSpell	0x00541500
IsHarmfulSpell	0x005418F0
IsHelpfulSpell	0x00541800
IsLinuxClient	0x00510B90
IsMacClient	0x00510B90
IsPartyLFG	0x0052C310
IsPartyLeader	0x0052CCD0
IsPassiveSpell	0x00541340
IsRealPartyLeader	0x0052CD30
IsScanDLLFinished	0x004DCE00
IsSelectedSpell	0x005412C0
IsShiftKeyDown	0x004DBE10
IsSpellInRange	0x00541C60
IsSpellKnown	0x0053C3A0
IsStreamingMode	0x004DD430
IsStreamingTrial	0x004DD440
IsSystemSupported	0x004DD540
IsTrialAccount	0x004DD4D0
IsUsableSpell	0x00541680
IsWindowsClient	0x004DCE40
LaunchAddOnURL	0x004DC720
LaunchURL	0x004DC1C0
LeaveParty	0x0052D990
MatrixCommit	0x004DC430
MatrixEntered	0x004DC3A0
MatrixRevert	0x004DC420
PINEntered	0x004DC2D0
PatchDownloadApply	0x004DC550
PatchDownloadCancel	0x004DC540
PatchDownloadProgress	0x004DDA90
PickupCompanion	0x0053C310
PickupSpell	0x00541200
PlayCreditsMusic	0x004DC150
PlayGlueAmbience	0x004DC0C0
PlayGlueMusic	0x004DC070
PlayMusic	0x00985950
PlaySound	0x009858B0
